,dataset,type,step,accuracy,loss
469,audio-mnist,ssh,234,100.0,0.0037232316099107265
470,audio-mnist,cls,235,99.21875,0.04102674499154091
471,audio-mnist,ssh,235,100.0,0.0003819291014224291
472,audio-mnist,cls,236,100.0,0.0077096545137465
473,audio-mnist,ssh,236,100.0,0.0002348612033529207
474,audio-mnist,cls,237,99.21875,0.013179599307477474
475,audio-mnist,ssh,237,100.0,0.0003106726799160242
476,audio-mnist,cls,238,99.21875,0.01810361258685589
477,audio-mnist,ssh,238,100.0,0.00012448370398487896
478,audio-mnist,cls,239,100.0,0.007242424879223108
479,audio-mnist,ssh,239,100.0,0.0014426696579903364
480,audio-mnist,cls,240,99.21875,0.05940698832273483
481,audio-mnist,ssh,240,100.0,0.00022031694243196398
482,audio-mnist,cls,241,98.4375,0.035302940756082535
483,audio-mnist,ssh,241,100.0,0.00015058406279422343
484,audio-mnist,cls,242,99.21875,0.01960122399032116
485,audio-mnist,ssh,242,100.0,0.00021920552535448223
486,audio-mnist,cls,243,100.0,0.012350872159004211
487,audio-mnist,ssh,243,100.0,0.00015005726891104132
488,audio-mnist,cls,244,100.0,0.008012131787836552
489,audio-mnist,ssh,244,100.0,0.001139628584496677
